foundation,grantee,state,city,grant_year,grant_allocation,grant_purpose,grantee_work
ZSR,Center for Community Self-Help,NC,Durham,2018,50000,Public Education,
ZSR,Foundation for the Carolinas,NC,Charlotte,2018,50000,Public Education,
ZSR,"Campbell University, Inc.",NC,Buies Creek,2018,50000,Social Justice and Equity,
ZSR,NC Center on Actual Innocence,NC,Durham,2018,50000,Social Justice and Equity,
ZSR,Children First Communities in Schools of Buncombe County,NC,Asheville,2018,50000,Strengthening Democracy,
ZSR,Hoke County Schools,NC,Raeford,2018,46959,Public Education,
ZSR,"Brunswick Housing Opportunities, Inc.",NC,Bolivia,2018,45000,Community Development,
ZSR,University of North Carolina Chapel Hill,NC,Chapel Hill ,2018,45000,Community Development,
ZSR,Appalachian Voices,NC,Boone,2018,45000,Environment,
ZSR,University of North Carolina Chapel Hill,NC,Chapel Hill ,2018,45000,Environment,
ZSR,Family Violence Prevention Center,NC,Raleigh,2018,41000,Social Justice and Equity,
ZSR,Carolina Common Enterprise,NC,Durham,2018,40000,Community Development,
ZSR,Eagle Market Streets Development Corporation,NC,Asheville,2018,40000,Community Development,
ZSR,"Farmer Foodshare, Inc.",NC,Durham,2018,40000,Community Development,
ZSR,Natural Capital Investment Fund,NC,St. Pauls,2018,40000,Community Development,
ZSR,NC State University,NC,Raleigh,2018,40000,Community Development,
ZSR,University of North Carolina Chapel Hill,NC,Chapel Hill ,2018,40000,Community Development,
ZSR,NC Council of Churches,NC,Raleigh,2018,40000,Environment,
ZSR,NC Environmental Justice Network,NC,Rocky Mount,2018,40000,Environment,
ZSR,NC Justice Center,NC,Raleigh,2018,40000,Environment,
ZSR,Asheville City Schools Foundation,NC,Asheville,2018,40000,Public Education,
ZSR,Research Triangle Institute,NC,Raleigh,2018,40000,Public Education,
ZSR,United Way of Forsyth County,NC,Winston-Salem,2018,40000,Public Education,
ZSR,Winston-Salem Foundation,NC,Winston-Salem,2018,40000,Public Education,
ZSR,Campaign for Southern Equality,NC,Asheville,2018,40000,Social Justice and Equity,
ZSR,Equality NC Foundation,NC,Raleigh,2018,40000,Social Justice and Equity,
ZSR,Greensboro Community Development Fund,NC,Greensboro,2018,35000,Community Development,
ZSR,IDA and Asset Building Collaborative of NC,NC,Raleigh,2018,35000,Community Development,
ZSR,Just Economics,NC,Asheville,2018,35000,Community Development,
ZSR,Lexington Housing Community Development Corporation,NC,Lexington,2018,35000,Community Development,
ZSR,NC Pottery Museum,NC,Seagrove,2018,35000,Community Development,
ZSR,Reinvestment Partners,NC,Durham,2018,35000,Community Development,
ZSR,"Urban Leage of Central Carolinas, Inc.",NC,Charlotte,2018,35000,Community Development,
ZSR,Dan River Basin Association,NC,Eden,2018,35000,Environment,
ZSR,"Foothills Conservancy of NC, Inc.",NC,Morgantown,2018,35000,Environment,
ZSR,Southeastern Wind Coalition,NC,Raleigh,2018,35000,Environment,
ZSR,Sustainable Sandhills,NC,Fayetteville,2018,35000,Environment,
ZSR,Youth Empowered Solutions (YES!),NC,Raleigh,2018,35000,Environment,
ZSR,East Durham Children's Initiative,NC,Durham,2018,35000,Public Education,
ZSR,Beloved Community Center of Greensboro,NC,Greensboro,2018,35000,Social Justice and Equity,
ZSR,Community Success Initiative,NC,Raleigh,2018,35000,Social Justice and Equity,
ZSR,NC Council o of Churches,NC,Raleigh,2018,35000,Social Justice and Equity,
ZSR,NC Farmworkers Project,NC,Benson,2018,35000,Social Justice and Equity,
ZSR,"NC Freedom Monument Project, Inc. ",NC,Raleigh,2018,35000,Social Justice and Equity,
ZSR,Women AdvaNCe,NC,Raleigh,2018,35000,Social Justice and Equity,
ZSR,"YWCA of High Point, Inc.",NC,High Point,2018,35000,Social Justice and Equity,
ZSR,"Alliance for NC Black Elected Officials, Inc. ",NC,Raleigh,2018,35000,Strengthening Democracy,
ZSR,Orange County Parrnership for Young Children,NC,Chapel Hill ,2018,34744,Community Development,
ZSR,Go Global NC Council Inc.,NC,Research Triangle Park,2018,33775,Social Justice and Equity,
ZSR,Atkins Community Development Corporation,NC,Winston-Salem,2018,30000,Community Development,
ZSR,Blue Ridge Women in Agriculture,NC,Boone,2018,30000,Community Development,
ZSR,iNvictus Forward Outreach,NC,Durham,2018,30000,Community Development,
ZSR,Made in Durham,NC,Durham,2018,30000,Community Development,
ZSR,Queen City Forward,NC,Charlotte,2018,30000,Community Development,
ZSR,Sandhills Family Heritage Association,NC,Spring Lake,2018,30000,Community Development,
ZSR,"Uniting NC, Inc.",NC,Durham,2018,30000,Community Development,
ZSR,Valdese Economic Development Investment Corporation,NC,Valdese,2018,30000,Community Development,
ZSR,Alliance for Climate Education,NC,Raleigh,2018,30000,Environment,
ZSR,Cape Fear River Watch,NC,Wilmington,2018,30000,Environment,
ZSR,Clean Water for NC,NC,Asheville,2018,30000,Environment,
ZSR,Dogwood Alliance,NC,Asheville,2018,30000,Environment,
ZSR,"Mainspring Conservation Trust, Inc.",NC,Franklin,2018,30000,Environment,
ZSR,Audubon Society,NC,Durham,2018,30000,Environment,
ZSR,NC Wildlife Federation ,NC,Raleigh,2018,30000,Environment,
ZSR,Piedmont Land Conservancy,NC,Greensboro,2018,30000,Environment,
ZSR,"Yadkin Riverkeeper, Inc. ",NC,Winston-Salem,2018,30000,Environment,
ZSR,Guilford Education Alliance,NC,Greensboro,2018,30000,Public Education,
ZSR,"Parents for Public Schools, Inc.",NC,Greenville,2018,30000,Public Education,
ZSR,Conservatives for Criminal Justice Reform,NC,Raleigh,2018,30000,Social Justice and Equity,
ZSR,Hispanic Liaison of Chatham County,NC,Siler City,2018,30000,Social Justice and Equity,
ZSR,"NC FIELD, Inc",NC,Kinston,2018,30000,Social Justice and Equity,
ZSR,"Carolina Public Press, Inc.",NC,Asheville,2018,30000,Strengthening Democracy,
ZSR,Durham CAN,NC,Durham,2018,30000,Strengthening Democracy,
ZSR,NC Public Interest Research Group Education Fund ,NC,Raleigh,2018,30000,Strengthening Democracy,
ZSR,Neighbors for Better Neighborhoods,NC,Winston-Salem,2018,30000,Strengthening Democracy,
ZSR,"Working Films, Inc. ",NC,Wilmington,2018,30000,Strengthening Democracy,
ZSR,Appalachian Sustainable Agriculture Project,NC,Asheville,2018,25000,Community Development,
ZSR,"Consumer Credit Counseling Service of Forsyth County, Inc.",NC,Winston-Salem,2018,25000,Community Development,
ZSR,"Durham Community Land Trustees, Inc",NC,Durham,2018,25000,Community Development,
ZSR,Graham Revitalization Economic Action Team,NC,Robbinsville,2018,25000,Community Development,
ZSR,"Green Rural Redevelopment, Inc.",NC,Henderson,2018,25000,Community Development,
ZSR,NC State University,NC,Raleigh,2018,25000,Community Development,
ZSR,"Northern Moore Family Resource Center, Inc.",NC,Robbins,2018,25000,Community Development,
ZSR,Asheville Greenworks,NC,Asheville,2018,25000,Environment,
ZSR,BikeWalk NC,NC,Cary,2018,25000,Environment,
ZSR,Clean Air Carolina,NC,Charlotte,2018,25000,Environment,
ZSR,Collider,NC,Asheville,2018,25000,Environment,
ZSR,East Coast Greenway Alliance,NC,Durham,2018,25000,Environment,
ZSR,Green Built Alliance,NC,Asheville,2018,25000,Environment,
ZSR,NC League of Conservation Voters Foundation,NC,Raleigh,2018,25000,Environment,
ZSR,Sustain Charlotte,NC,Charlotte,2018,25000,Environment,
ZSR,WakeUP Wake County,NC,Raleigh,2018,25000,Environment,
ZSR,West End Revitalization Association,NC,Mebane,2018,25000,Environment,
ZSR,MeckEd,NC,Charlotte,2018,25000,Public Education,
ZSR,FaithAction International House,NC,Greensboro,2018,25000,Social Justice and Equity,
ZSR,Freedom Center for Social Justice,NC,Charlotte,2018,25000,Social Justice and Equity,
ZSR,Mano al Hermano,NC,Kitty Hawk,2018,25000,Social Justice and Equity,
ZSR,Southeast Asian Coalition,NC,Charlotte,2018,25000,Social Justice and Equity,
ZSR,Southern Coalition for Social Justice,NC,Durham,2018,25000,Social Justice and Equity,
ZSR,Thirtieth Judicial District Domestic Violence-Sexual Assault Alliance,NC,Waynesville,2018,25000,Social Justice and Equity,
ZSR,"Institute of Political Leadership, Inc.",NC,Greensboro,2018,25000,Strengthening Democracy,
ZSR,Southern Documentary Fund,NC,Durham,2018,25000,Strengthening Democracy,
ZSR,Hoke County Schools,NC,Raeford,2018,24693,Public Education,
ZSR,"Haw River Assembly, Inc",NC,Bynum,2018,22000,Environment,
ZSR,Hoke County Schools,NC,Raeford,2018,20192,Public Education,
ZSR,Bountiful Cities Project,NC,Asheville,2018,20000,Community Development,
ZSR,Cleveland County Community Development Corporation,NC,Shelby,2018,20000,Community Development,
ZSR,Communities in Partnership,NC,Durham,2018,20000,Community Development,
ZSR,Friends of Hyde County's Historic 1854 Courthouse,NC,Swan Quarter,2018,20000,Community Development,
ZSR,Goler-Depot Street Renaissance Corporation,NC,Winston-Salem,2018,20000,Community Development,
ZSR,ONABEN,NC,Cherokee,2018,20000,Community Development,
ZSR,"Shalom Project, Inc.",NC,Winston-Salem,2018,20000,Community Development,
ZSR,Sow Much Good,NC,Charlotte,2018,20000,Community Development,
ZSR,"TCK Providence, Inc.",NC,Winston-Salem,2018,20000,Community Development,
ZSR,Winston-Salem Urban League,NC,Winston-Salem,2018,20000,Community Development,
ZSR,Working Landscapes,NC,Warrenton,2018,20000,Community Development,
ZSR,Environmental Quality Institute,NC,Black Mountain,2018,20000,Environment,
ZSR,"Hiawassee River Watershed Coalition, Inc.",NC,Murphy,2018,20000,Environment,
ZSR,NC Health News,NC,Chapel Hill ,2018,20000,Environment,
ZSR,Renewable Energy Transition Initiative,NC,Charlotte,2018,20000,Environment,
ZSR,Southern Appalachian Highlands Conservancy,NC,Asheville,2018,20000,Environment,
ZSR,WakeEd Partnership Raleigh,NC,Winston-Salem,2018,20000,Public Education,
ZSR,"Franklinton Center, Inc. ",NC,Whitakers,2018,20000,Social Justice and Equity,
ZSR,Jonesboro United Methodist Church,NC,Sanford,2018,20000,Social Justice and Equity,
ZSR,NC Society of Hispanic Professionals,NC,Cary,2018,20000,Social Justice and Equity,
ZSR,Blue Ribbon Commission Prevention of Youth Violence,NC,Wilmington,2018,20000,Strengthening Democracy,
ZSR,Neighbors for Better Neighborhoods,NC,Winston-Salem,2018,20000,Strengthening Democracy,
ZSR,Orange County Justice United in Community Effort,NC,Chapel Hill ,2018,20000,Strengthening Democracy,
ZSR,People's Alliance Fund,NC,Durham,2018,20000,Strengthening Democracy,
ZSR,Community Building Initiative,NC,Charlotte,2018,16500,Social Justice and Equity,
ZSR,Patterson School Foundation,NC,Patterson,2018,15000,Community Development,
ZSR,Alliance for Responsible Swine Indisutry,NC,New Bern,2018,15000,Environment,
ZSR,"Profound Gentlemen, Inc. ",NC,Charlotte,2018,15000,Public Education,
ZSR,"Winyah Rivers Foundation, Inc.",SC,Conway,2018,11000,Environment,
ZSR,Alliance for Responsible Swine Industry,NC,New Bern,2018,10000,Environment,
ZSR,Center for Community Self-Help,NC,Durham,2018,10000,Public Education,
ZSR,Julius L. Chambers Center for Civil Rights,NC,Carrboro,2018,10000,Public Education,
ZSR,NC Commission on Racial and Ethnic Disparities in the Criminal Justice System,NC,Raleigh,2018,10000,Social Justice and Equity,
ZSR,Made in Durham,NC,Durham,2018,5000,Community Development,
ZSR,"NC Business Council, Inc. ",NC,Burlington,2018,5000,Community Development,
ZSR,Patterson School Foundation,NC,Patterson,2018,5000,Community Development,
ZSR,Coalicion Latinoamericano,NC,Charlotte,2018,5000,Social Justice and Equity,
ZSR,Asociación de Mexicanos en Carolina Del Norte,NC,Greenville,2018,5000,"Visionary Ideas, Exploratory",
ZSR,"Foothills Conservancy of NC, Inc.",NC,Morganton,2018,5000,"Visionary Ideas, Exploratory",
ZSR,Haliwa-Saponi Indian Tribe,NC,Hollister,2018,5000,"Visionary Ideas, Exploratory",
ZSR,Learning Resources for Change,NC,Charlotte,2018,5000,"Visionary Ideas, Exploratory",
ZSR,Hoke County Schools,NC,Raeford,2018,987,Public Education,
ACF,SOCM (Statewide Organizing for Community eMpowerment),TN,Knoxville,2018,1000,,
ACF,Livelihoods Knowledge Exchange Network,KY,Lexington,2018,800,,
ACF,Clearfork Valley Youth Media,TN,Duff,2018,500,,
ACF,Appalachian Sustainable Development ,VA,Abingdon,2018,1000,,
ACF,Clearfork Community Institute,TN,Eagan,2018,1500,,
ACF,Kentucky Student Environmenal Coalition,KY,Lexington,2018,1000,,
ACF,Parent Resource Center,TN,Duff,2018,1000,,
ACF,Scholarship,VA,Gate City,2018,1000,,
ACF,Margaret Gregg,VA,Abingdon,2018,1000,,
ACF,The Holler Network,KY,Whitesburg,2018,1000,,
WRF,Batesville Area Chamber of Commerce,AR,Batesville,2016,65000,Implementation ,
WRF,Mary Reynolds Babcock Foundation,NC,Winston-Salem,2016,500000,Support Uplift America Fund,
WRF,Arkansas Campaign for Grade Level Reading,AR,Little Rock,2018,141483,"(27 orgs across Little Rock) The Arkansas Campaign for Grade Level Reading (AR-GLR) is a Foundation-launched                   campaign with the goal that all Arkansas students read proﬁciently by the end of third                               grade. The Campaign supports communities, parents, policymakers, and policy                 advocates by facilitating policy research on the AR-GLR impact areas, providing strategic                         communication to raise community awareness, and building local capacity through                     community solutions to address gaps in early literacy. In 2018, the Campaign shifted to                             equity with the development and adoption of a new community strategy to ensure                           equitable outcomes for children birth through eight. AR-GLR is derived from the National                           Campaign for Grade Level Reading and is managed in partnership with the Arkansas                       Community",
WRF,Expect More Arkansas,AR,North Little Rock,2018,138894,Jobs,
WRF,Strengthening Arkansas Nonprofits,AR,Little Rock,2018,134104,"Technical Assistance, Planning and Coaching, Leadership Development",
WRF,ForwARd Arkansas,AR,Little Rock,2018,131256,Education,
WRF,Advocates for Community and Rural Education,AR,Little Rock,2018,7500,Rural Community Alliance,
WRF,AR Kids Read,AR,Little Rock,2018,45000,Education,
WRF,Arkansas Advocates for Children and Families,AR,Little Rock,2018,75000,Family Advocacy,
WRF,Arkansas Community Foundation,AR,Little Rock,2018,20000,2018 David Rainey Board Honorarium for the Delta Area Affiliate of ARCF,
WRF,Arkansas Community Foundation,AR,Little Rock,2018,39672,Education,
WRF,Arkansas Community Foundation,AR,Little Rock,2018,32500,Increase Collaboration across Arkansas philabthropy sector,
WRF,Arkansas Community Foundation,AR,Little Rock,2018,125000,Education,
WRF,Arkansas Community Foundation,AR,Little Rock,2018,500000,Early Education,
WRF,Arkansas Community Foundation,AR,Little Rock,2018,300000,Management and Implementation of ForwARd Arkansas,
WRF,Arkansas Community Institute,AR,Little Rock,2018,25000,Wealth-Building,
WRF,Arkansas Community Institute,AR,Little Rock,2018,50000,Wealth-Building,
WRF,Arkansas Public Policy Panel,AR,Little Rock,2018,160000,Research,
WRF,Arkansas Regional Innovation Hub,AR,Little Rock,2018,55000,Education,
WRF,Arkansas Single Parent Scholarship Fund Program,AR,Springdale,2018,70000,Education,
WRF,Boys Girls Adults Community Development Center,AR,Marvell,2018,43553,Education,
WRF,Capacity for Change,AR,Little Rock,2018,150000,General,
WRF,Compassion Works for All: decARcerate,AR,Little Rock,2018,15000,Criminal Justice,
WRF,Grassroots Institute for Fundraising Training,GA,Atlanta,2018,5000,"2018 Money for Our Movements: A Social Justice Fundraising Conference in Atlanta, Georgia",
WRF,"Griffin-Gracy Educational Retreat and Historical Center, Inc.",AR,Little Rock,2018,15000,Board Management Consulting,
WRF,Hispanic Women's Organization of Arkansas,AR,Springdale,2018,30000,General Operating,
WRF,Hispanic Community Services,AR,Jonesboro,2018,8600,General Operating,
WRF,Home Instruction for Parents of Preschool Youngsters,AR,Little Rock,2018,23000,General Operating,
WRF,Just Communities of Arkansas,AR,Little Rock,2018,30000,General Operating,
WRF,Lyon College,AR,Batesville,2018,40000,Education,
WRF,McGehee Desha Alumni Community Center,AR,McGehee,2018,15900,Community Development,
WRF,Northwest Arkansas Workers Justice Center,AR,Springdale,2018,32500,General Operating,
WRF,"One Community, Inc.",AR,Springdale,2018,15000,Education,
WRF,Philander Smith College,AR,Little Rock,2018,80000,Education,
WRF,Phoenix Youth and Family Services,AR,Little Rock,2018,60000,Youth,
WRF,Southeastern Council of Foundations,GA,Atlanta,2018,5000,General Operations,
WRF,Southern Bancorp Capital Partners,AR,Little Rock,2018,25000,General Operations,
WRF,"Targeting Our People Priorities with Service, Inc.",AR,Pine Bluff,2018,10000,,
WRF,United Way of Northeast Arkansas,AR,Jonesboro,2018,15000,Wealth-Building,
WRF,United Way of Northwest Arkansas,AR,Lowell,2018,40000,Wealth-Building,
WRF,University of Arkansas at Pine Bluff,AR,Pine Bluff,2018,20000,General Operating,
WRF,University of Arkansas,AR,Fayetteville,2018,10000,Research,
WRF,University of Arkansas,AR,Fayetteville,2018,120000,Community Development,
WRF,University of Arkansas,AR,Fayetteville,2018,20000,Award,
WRF,"Urban Leage of the State of Arkansas, Inc. ",AR,Little Rock,2018,50000,General Opeating,
WRF,Vera Lloyn Presbyterian Services,AR ,Monticello,2018,10000,General Operating,
BCM,Committee for a Better New Orleans,LA,New Orleans,2019,4250,Civic Responsibility Project,
BCM,Court Watch NOLA,LA,New Orleans,2019,2989,Data Collection,
BCM,Justice & Accountability Center of Lousiana,LA,New Orleans,2019,52500,Justice and Accountability Center,
BCM,Justice & Accountability Center of Lousiana,LA,New Orleans,2019,27794,Justice and Accountability Center,
BCM,Council on Alcohol & Drug Abuse,LA,New Orleans,2019,85722,Project Reconnect,
BCM,Covenant House,LA,New Orleans,2019,43750,Rights of Passage: A University for Street Kids,
BCM,Covenant House,LA,New Orleans,2019,78125,Rights of Passage: A University for Street Kids,
BCM,Greater New Orleans Education Foundation,LA,New Orleans,2019,64163,Reshaping a Greater New Orleans,
BCM,Kedila Family Learning Center,LA,New Orleans,2019,2889,Pre-Work-Force Program,
BCM,Kids Rethink New Orleans Schools,LA,New Orleans,2019,65000,Rethink Ypar,
BCM,Louisiana Center for Children's Rights,LA,New Orleans,2019,106250,"Safe, Smart, Cost Effective and Fair",
BCM,Louisiana Center for Children's Rights,LA,New Orleans,2019,59500,"Safe, Smart, Cost Effective and Fair",
BCM,MICAH Project,LA,New Orleans,2019,28125,"Justice for All, Not Justice for Some Initiative",
BCM,MICAH Project,LA,New Orleans,2019,24937,"Justice for All, Not Justice for Some Initiative",
BCM,New Orleans Police and Justice Foundation,LA,New Orleans,2019,22500,Reducing waste & promoting fact-based decision making in the Orleans Parish criminal justice system,
BCM,Next Generation International,LA,New Orleans,2019,16250,The First 72+,
BCM,Southeast Louisiana Legal Services,LA,New Orleans,2019,82188,Public Housing Youth Reentry Project,
BCM,Youth Empowerment Project,LA,New Orleans,2019,97500,Youth Empowerment Project Work & Learn Center,
BCM,Youth Rebuilding New Orleans,LA,New Orleans,2019,18750,Rebuild Program (Reforming Employment Build Program),
BCM,Youth Services Bureau of St. Tammany,LA,Covington,2019,41562,Crossroads Delinquency,
BCM,Youth Services Bureau of St. Tammany,LA,Covington,2019,77878,Crossroads Delinquency,
BCM,Bureau of Governmental Research,LA,New Orleans,2019,250000,Core Funding,
BCM,4point0 Schools,LA,New Orleans,2019,24500,The Power of Entrepreneurship in Education Reform,
BCM,4point0 Schools,LA,New Orleans,2019,43750,The Power of Entrepreneurship in Education Reform,
BCM,Bard College,LA ,New Orleans,2019,65000,Launching the Bard Early College Academy in New Orleans,
BCM,Bricolage Academy,LA,New Orleans,2019,11501,Creating Innovators Program,
BCM,Bricolage Academy,LA,New Orleans,2019,11598,Creating Innovators Program,
BCM,CASA New Orleans,LA,New Orleans,2019,27143,Training and Foster Youth Programming,
BCM,CASA New Orleans,LA,New Orleans,2019,50407,Training and Foster Youth Programming,
BCM,College Track,LA,New Orleans,2019,125000,Opportunities Academy Citywide Expansion,
BCM,Communities in Schools of the Gulf South,LA,New Orleans,2019,40199,Improving Outcomes throughout the Region with Integrated Students Supports,
BCM,Delgado Community College Foundation,LA,New Orleans,2019,35520,eLearn: Scaling Distance Learning,
BCM,Educare New Orleans,LA,New Orleans,2019,44702,Educare New Orleans,
BCM,Educare New Orleans,LA,New Orleans,2019,122622,Educare New Orleans,
BCM,Educators for Quality Alternatives,LA,New Orleans,2019,75000,The NET Charter High School - School Replication,
BCM,FirstLine Schools,LA,New Orleans,2019,52500,Teacher Prep Day,
BCM,FirstLine Schools,LA,New Orleans,2019,93750,Teacher Prep Day,
BCM,Kids smART,LA,New Orleans,2019,37500,THINK smART,
BCM,KID smART,LA,New Orleans,2019,77143,Arts Literacy NOLA,
BCM,Leading Educators Inc.,LA,New Orleans,2019,56250,Leading Educators Teams Fellowship,
BCM,Louisiana Endowment for the Humanities,LA,New Orleans,2019,115425,Increasing School Readiness in Greater New Orleans,
BCM,LOOP NOLA,LA,New Orleans,2019,26250,Outdoor Adventure Experience for Greater New Orleans Public School Students,
BCM,LOOP NOLA,LA,New Orleans,2019,48750,Outdoor Adventure Experience for Greater New Orleans Public School Students,
BCM,New Schools for New Orleans,LA,New Orleans,2019,87500,Next Generation Teacher Pipeline for New Orleans,
BCM,New Schools for New Orleans,LA,New Orleans,2019,156250,Next Generation Teacher Pipeline for New Orleans,
BCM,Nonprofit Knowledge,LA,New Orleans,2019,8832,The New Orleans Youth Index,
BCM,Our Voice Nuestra Voz,LA,New Orleans,2019,65000,DALEI Fellowship/Defender,
BCM,Playworks Education Energized,LA,New Orleans,2019,5000,Reducing Bullying & Improving Children's Social Competence,
BCM,Policy Institute for the Children of Louisiana,LA,New Orleans,2019,17813,Increasing Access to High Quality Early Childhood Education,
BCM,Policy Institute for the Children of Louisiana,LA,New Orleans,2019,52875,Increasing Access to High Quality Early Childhood Education,
BCM,"Puentes New Orleans, Inc.",LA,New Orleans,2019,18750,Escalera NOLA and Educational Advancement for Latinos in the New Orleans Metro Area,
BCM,"Reconcile New Orleans, Inc.",LA,New Orleans,2019,45937,"Building Hope, Changing Lives, Scaling Impact",
BCM,St. Michael Special School,LA,New Orleans,2019,35000,Exploration Academy: Continued Vocation and Transition Development for adults with Special Ed. Needs,
BCM,St. Michael Special School,LA,New Orleans,2019,65000,Exploration Academy: Continued Vocation and Transition Development for adults with Special Ed. Needs,
BCM,"Single Stop USA, Inc.",LA ,Baton Rouge,2019,43640,Increasing Retention & Graduaton at Delgado,
BCM,Teach for America,LA,New Orleans,2019,37500,Special Education Cohorts Project,
BCM,The Posse Foundation,LA,New Orleans,2019,35000,"Bringing College Access, Completion and Career Opportunities to New Orleans Youth",
BCM,The Posse Foundation,LA,New Orleans,2019,106000,"Bringing College Access, Completion and Career Opportunities to New Orleans Youth",
BCM,Thrive New Orleans,LA,New Orleans,2019,32500,Launch NOLA: Helping underserved. Uran entrepreneurs start and grow their own small business,
BCM,unCommon Construction,LA,New Orleans,2019,17500,unCommon Constructuion Apprenticeship Program,
BCM,"Young Aspirations/Young Artists (YAYA), Inc.",LA,New Orleans,2019,26250,Leadership and Life Skills Training for YAYA Guild Members,
BCM,"Young Aspirations/Young Artists (YAYA), Inc.",LA,New Orleans,2019,48750,Leadership and Life Skills Training for YAYA Guild Members,
BCM,Young Audiences of Louisiana,LA,New Orleans,2019,56875,Louisiana Wolf Trap Early Learnig Through the Arts Early Head Start and Head Start Initiative,
BCM,YouthForce NOLA,LA,New Orleans,2019,52500,YouthForce NOLA: A Career Readiness Initiative for New Orleans Youth,
BCM,YouthForce NOLA,LA,New Orleans,2019,97500,YouthForce NOLA: A Career Readiness Initiative for New Orleans Youth,
BCM,Administrators for the Tulane Edu Fund,LA,New Orleans,2019,112408,Tulane Center for Autism and Related Disorders,
BCM,Baptist Community of Resilience,LA,New Orleans,2019,3934,BCHS Health Lower 9th Initiative,
BCM,Bastion Community of Resilience ,LA,New Orleans,2019,130000,Veterans Health and Reintegration Initiative,
BCM,CATCH Global Foundation,TX,Austin ,2019,49187,Jefferson Parish CATCH Coordinated School Health Initiative,
BCM,"Center for Resilience, Inc.",LA,New Orleans,2019,84500,Center for Resilience: Expansion Staff,
BCM,Children's Hospital,LA,New Orleans,2019,69128,School Kids Immunization Program,
BCM,Children's Hospital,LA,New Orleans,2019,172826,School Kids Immunization Program,
BCM,Children's Hospital,LA,New Orleans,2019,60062,Children's Hospital Behavioral Health Telepsychiatry,
BCM,City of New Orleans,LA,New Orleans,2019,36150,Healthcare for the Homeless: Uniformed Patient Relief,
BCM,City of New Orleans,LA,New Orleans,2019,168653,Healthcare for the Homeless: Uniformed Patient Relief,
BCM,Crossroads NOLA,LA,New Orleans,2019,70000,Greater New Orleans Collaoborative for Children,
BCM,Crossroads NOLA,LA,New Orleans,2019,284768,Greater New Orleans Collaoborative for Children,
BCM,Liberty's Kitchen,LA,New Orleans,2019,40125,Healthy Future Initiative,
BCM,NAMI  St. Tammany,LA,New Orleans,2019,31529,Peer Run Drop-In Center,
BCM,NAMI  St. Tammany,LA,New Orleans,2019,68372,Peer Run Drop-In Center,
BCM,New Orleans Women & Children's Shelter,LA,New Orleans,2019,29820,"Shelter, Transition Services, and Aftercare",
BCM,Ochsner Clinic Foundation,LA,New Orleans,2019,61165,Mother's Milk Bank of Louisiana at Ochsner Baptist Planning Grant,
BCM,Ochsner Clinic Foundation,LA,New Orleans,2019,94684,Mother's Milk Bank of Louisiana at Ochsner Baptist Planning Grant,
BCM,Partnership for Achieving Total Health,LA,New Orleans,2019,5073,Analytical Impact Evaluation of GNO Health Care Quality Improvement,
BCM,Recovery School District,LA,New Orleans,2019,30600,New Orleans Therapeutic Day Program,
BCM,Second Harvest Food Bank of Greater New Orleans,LA,New Orleans,2019,90434,Therapeutic Food Pantry,
BCM,St. Thomas Community Health Center,LA,New Orleans,2019,93750,STTCHC Primary & Behavioral Healthcare Integration,
BCM,St. Thomas Community Health Center,LA,New Orleans,2019,6859,STTCHC EPSDT Coordinated Care Program,
BCM,Administrators for the Tulane Edu Fund,LA,New Orleans,2019,3305,Bridging the Gap: Early Childhood Mental Health Consultation to Pediatric Providers,
BCM,University Medical Center,LA,New Orleans,2019,191077,UMC Trauma Recovery Clinic,
BCM,VIA Link,LA,New Orleans,2019,57000,VIA Link for the 21st Century,
BCM,"Volunteers of America Southeast Louisiana, Inc.",LA,New Orleans,2019,150000,Building Sustainability of Fresh Food Factor Providing Healthy Meals and Lifestyle Choices to Children,
BCM,YMCA of Greater New Orleans,LA,Metairie,2019,34300,Spectrum Disorder (ASD) Resources,
BCM,YMCA of Greater New Orleans,LA,Metairie,2019,63700,Spectrum Disorder (ASD) Resources,
BCM,"Youth Run NOLA, Inc.",LA,New Orleans,2019,32500,Youth Run NOLA High School Mentorship Experience,
BCM,Baptist Community Health Services,LA,New Orleans,2019,214270,BCHS Expansion of Location and Services,
BCM,Baptist Community Health Services,LA,New Orleans,2019,392860,BCHS Expansion of Location and Services,
BCM,Greater New Orleans Foundation,LA,New Orleans,2019,30000,GiveNOLA Day 2018,
BCM,Northshore Community Foundation,LA,Covington,2019,50000,Strategic Planning and Fundraising,
BCM,Cancer Association of Greater New Orleans,LA,New Orleans,2019,100000,Assistance for Cancer Patience,
BCM,504 HealthNet,LA,New Orleans,2019,30000,Health Service Delivery Integration,
BCM,Administrators for the Tulane Edu Fund,LA,New Orleans,2019,4000,Criminal Justice System Alignment,
BCM,"Adventist Community Services Center, Inc.",LA,New Orleans,2019,300,Criminal Justice System Alignment,
BCM,Agenda for Children,LA,New Orleans,2019,70000,Improviing the Quality of Programs,
BCM,Asia Baptist Church,LA,New Orleans,2019,300,Criminal Justice System Alignment,
BCM,CASA New Orleans,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Catholic Charities Archdioses of New Orleans,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Children's Bureau,LA,New Orleans,2019,36500,Health Service Delivery Integration,
BCM,Council on Alcohol & Drug Abuse,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
